name,pub_time,con_finish_time,click_num,dock_enter_num,func_use,main_indice,type
61424131801-毫米波超宽带无线电信号接收天线技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595183.html,2018-11-17,2018-12-03,446,,"研究目标：重点开展基于相控阵技术的毫米波超宽带无线电信号接收天线技术研究，给出天线设计理论方法，并进行仿真验证,完成样机研制，进行实测数据验证。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：陈灿、曹金坤，联系方式：028-69595299 ，028-69595291，13550209650",,all
"公钥密码理论新进展咨询研究
（编号：CPZX-180018）",http://www.weain.mil.cn/cgxq/ky/yjjsl/595182.html,2018-11-17,2018-11-21,395,,"2017～2018年美密、欧密、亚密、RSA、PKC等国际重要学术会议与学术期刊关于公钥密码设计与分析技术进展，以及公钥密码领域理论与技术的最新发展趋势。
一、采购方式
竞争性谈判
二、对接单位要求
（1）在中华人民共和国境内注册且法定代表人具有中华人民共和国国籍；
（2）非外资控股企业；
（3）不得为从事代理、销售等非科研生产性质的单位； 
（4）取得国家标准的质量管理体系认证证书；
（5）取得国家保密资质认证证书；
（6）特定项目资质要求。
三、实施流程及进度安排
采用线上需求对接形式，对接时间2018年11月17日至21日。",,all
密钥管理芯片测试评估工具开发（编号：CPZX-180025）,http://www.weain.mil.cn/cgxq/ky/yjjsl/595181.html,2018-11-17,2018-11-21,220,,"研发密钥管理芯片破解试验系统，用于针对SK8671移动硬盘密钥管理芯片在限定密钥空间条件下的AES-XTS密钥的暴力破解试验。
一、采购方式
竞争性谈判
二、对接单位要求
（1）在中华人民共和国境内注册且法定代表人具有中华人民共和国国籍；
（2）非外资控股企业；
（3）不得为从事代理、销售等非科研生产性质的单位； 
（4）取得国家标准的质量管理体系认证证书；
（5）取得国家保密资质认证证书；
（6）特定项目资质要求。
三、实施流程及进度安排
采用线上需求对接形式，对接时间2018年11月17日至21日。",,all
61424131808-基于机器学习的短波信号载波检测与识别技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595180.html,2018-11-17,2018-12-03,528,,"研究目标：研究短波信号智能出现检测技术，实现短波全频段范围内出现信号的频点、带宽、持续时间的检测，将现有的基于能量的短波信号检测技术转变为以深度学习为基础的信号检测工作模式，大大提升信号出现检测性能。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：彭磊，联系方式：18200169875",,all
61424131805-文本关键词提取和关联分析技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595179.html,2018-11-17,2018-12-03,472,,"研究目标：通过智能分词、主题关键词提取、关键词量化统计技术，自动化提取文档内容关键信息、重要性排序和文档关联分析，并结合高易用性的可视化技术，为大量文档的快速阅读理解提供技术辅助。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：陆路希
，联系方式：028-69595703，15008282456",,all
61424131810-高效信道化技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595178.html,2018-11-17,2018-12-03,254,,"研究目标：实现与国外IP核厂商性能相当的高效信道化技术
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：袁强，联系方式：13541238257",,all
"嵌入式模块电磁兼容性设计评估技术研究
（编号：CPZX-180024）",http://www.weain.mil.cn/cgxq/ky/yjjsl/595177.html,2018-11-17,2018-11-21,285,,"在对已有电磁兼容性相关标准分析研究、充分利用吸纳已有研究成果的基础上，根据模块研制实际需求和具体技术特点，研究提出模块电磁兼容性指标论证原则和提出方式、设计规范、评估考核方法。
一、采购方式
竞争性谈判
二、对接单位要求
（1）在中华人民共和国境内注册且法定代表人具有中华人民共和国国籍；
（2）非外资控股企业；
（3）不得为从事代理、销售等非科研生产性质的单位； 
（4）取得国家标准的质量管理体系认证证书；
（5）取得国家保密资质认证证书；
（6）特定项目资质要求。
三、实施流程及进度安排
采用线上需求对接形式，对接时间2018年11月17日至21日。",,all
61424131813-复杂电磁环境下一体化高温超导超短波接收技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595176.html,2018-11-17,2018-12-03,325,,"研究目标： 研究在超短波宽带高灵敏度接收前提下，如何对工作段内的强干扰信号进行有效滤波抑制，对带外噪声进行有效滤除，从而在保持接收系统高接收灵敏的同时提升接收动态范围，项目将采用高温超导技术探索对超短波信号的高灵敏度和高动态有效接收。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系方式：赵菲，18683683057",,all
61424131811-超短波宽带曲面共形阵列天线技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595175.html,2018-11-17,2018-12-03,287,,"研究目标： 项目以提高超短波阵列天线超大范围、超宽带性能为目标，克服现有传统平面传统阵列天线覆盖范围受限于90°内的不足。项目研究基于超宽带紧耦合天线阵理论和共形阵列天线技术，利用曲面天线阵列的天然宽空域覆盖特征，有效扩展平面阵列的覆盖空域；利用超宽天线单元及单元间的曲面强耦合特性，从而实现超宽带性能。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：赵菲，联系方式：18683683057",,all
61424131814-超宽带天线阵列智能优化技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595174.html,2018-11-17,2018-12-03,317,,"研究目标： 针对阵列天线单元难以实现宽带宽角匹配的效精确优化这一难题，项目将基于三维电磁仿真软件构建快速仿真的无限大阵列环境，同时建立软件与外部可控程序的接口，采用智能优化算法实现阵列单元的优化，使得单元天线设计之初就充分考虑阵元间、子阵间、列阵间互耦影响，防止阵列扫描过程中出现栅瓣，避免扫描过程中出现阻抗盲点、增益陡降等现象。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系方式：赵菲，18683683057",,all
61424131803-基于深度学习方法的纠错编码闭集识别技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595173.html,2018-11-17,2018-12-03,431,,"研究目标：为进一步丰富“纠错编码识别”思路，可基于时下火热的机器学习特别是深度学习技术，资助具有相应技术储备的地方院校，展开着眼于“纠错编码识别方法研究”的大胆尝试。最终，明确深度学习技术在该类实际问题上的可行性或应用潜力。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系方式：包昕，028-69595636，13699414863",,all
61424131804-千亿级搜索平台技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595172.html,2018-11-17,2018-12-03,221,,"研究目标：在网络数据分析中需要对大规模数据进行检索、统计和关系分析，目前常使用ES+HBase的方法。ES的索引需要放在内存中，存在这些不足：（1）索引规模小；（2）实时导入性能差；（3）检索结果太多时ES会崩溃；（4）大规模数据集上不支持多面检索；（5）不支持关系分析。所以需要研究千亿级检索技术。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：张明波，联系方式：18980088056",,all
61424131809-高阶PCMA信号分离处理技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595171.html,2018-11-17,2018-12-03,195,,"研究目标：突破8PSK、8QAM和16QAM调制方式的高阶PCMA信号分离解调译码技术
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：赵彧，联系方式：13688368645",,all
重点实验室基金-61422190208- 面向非线性特性的飞行器建模和控制理论,http://www.weain.mil.cn/cgxq/yy/yjjsl/595170.html,2018-11-17,2018-12-01,294,,针对新型飞行器的本体特性，开展飞行姿态控制技术应用基础研究，包括非常规、先进布局飞机姿态控制技术，临近空间飞行器的姿态稳定与控制技术以及战略投送/远程作战飞机控制等，突破其核心技术，引领基于现代控制理论的飞控系统设计方法。成果形式：提交相关研究报告、仿真验证报告和仿真软件。研究周期：2年。联系人：张晶，010-82316873,,all
重点实验室基金-61421110403-安全机制旁路与试验验证,http://www.weain.mil.cn/cgxq/yy/yjjsl/595169.html,2018-11-17,2018-11-30,346,,用于新型安全防护机制渗透测试。,,all
61424131802-宽带线性功放技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595168.html,2018-11-17,2018-12-03,222,,"研究目标：在“十三五”期间，研究800MHz范围内，线性（低互调）放大多个载波的技术实现可行性，并确定可在一年周期内实现的具体载波数量、互调抑制水平，并完成C频段样机。
对接方式详见互联网网站其他公告栏目：“盲信号处理国家级重点实验室创新发展基金”采购需求公告
联系人：张弼弛，联系方式：028-69595532，
18428392833",,all
重点实验室基金-6142105030603-超高频磁致伸缩多层膜技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595052.html,2018-11-16,2019-01-09,850,,"研究超高频磁致伸缩多层膜技术，探究电磁波辐射和接收的新机理，包括但不限于新型复合薄膜技术、高磁导率伸缩薄膜技术、新型工艺等。突破超高频磁致伸缩多层膜技术，建立样件模型，完成试验验证。
本项目采取线下
对接报名方式，
报名联系人：刘国，联系电话：18380287875",,all
边境地区无线电频率协调业务支持系统,http://www.weain.mil.cn/cgxq/gz/cpsbl/595051.html,2018-11-16,2018-11-22,272,,用以辅助频管人员便捷高效处理边境地区频率协调函件、做好频率协调会议准备、开展国际频率申请登记、进行涉外协调数据管理等工作,,all
重点实验室基金-61422110302-非对称结构功能一体化复合材料力学性能试验方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595050.html,2018-11-16,2018-11-27,490,,"通过研究非对称结构/功能一体化材料的试验件和工装设计方案和测试方法，建立一套针对非对称结构/功能一体化材料的力学性能测试准则，并形成相应的实验测试技术。主要指标与内容：非对称结构/功能一体化复合材料的拉伸力学性能、剪切力学性能、平面剪切力学性能和平面拉伸强度试验方法。

本项目采取线下对接报名方式，报名联系人:焦子涵,联系电话:010-68199538/13522985288",,all
重点实验室基金-61427010203192701001-发动机条件下装药结构低温完整性研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/595049.html,2018-11-16,2018-11-24,340,,"主要技术指标：模拟最低温度为-50℃，最大压强为8MPa；研究进度：201901-202011；本项目采取线下对接报名方式，报名联系人:魏祥庚,联系电话:13572495641。",,all
重点实验室基金-61420010501-无线窃视信号检查与解调还原技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595048.html,2018-11-16,2018-11-25,294,,"研究无线窃视装置信号的快速检测与识别、实时解调与还原等关键技术，实现无线窃视装置的快速定位。检测频率范围：20MHz～6GHz；信号传输制式：PAL、NTSC、DVB-S；信号调制方式：FM、COFDM等方式。
研究周期为2年。本项目采取线下对接报名方式，报名联系人:王玲,联系电话:0532-86888004。",,all
重点实验室基金-61427010404192701001-固液混合发动机多次启动技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595047.html,2018-11-16,2018-11-24,330,,"主要技术指标：启动次数≥3次；研究进度：
201901-202011；
本项目采取线下对接报名方式，报名联系人：冯蕾，联系电话：029-83607154，13310979855",,all
重点实验室基金-61425050204-新一代航空电子系统综合健康评估与维护管理技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/595046.html,2018-11-16,2018-11-30,403,,"主要研究内容:1) 航电通用处理模块失效模式与失效机理分析及状态参数集构建；2) 航空电子系统通用处理模块实时故障诊断技术研究；3) 航空电子系统通用处理模块实时故障诊断技术原理验证平台。
指标要求：1）诊断技术原理验证平台应包含至少由2个LRU和1个交换机组成的航电系统，单个LRU隔离率达到90%；2）诊断实时要求为成员系统CBIT的30个采样周期以内。研制周期2年。
承研单位对航空电子系统可靠性、故障机理方面的研究能力较强，具有较好的航空电子系统科研经验。本项目采取线下对接报名方式，报名联系人：张竞凯，联系电话：021-33296656，13661851486。",,all
